name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Marcus Mariota,QB,21.9,6036,222,4.52,4.11,36,,127.6
Brett Hundley,QB,22.1,6032,226,4.63,3.98,36,,125.1
Tyler Murphy,QB,23.8,6013,214,4.58,4.34,38,,123.9
Taylor Heinicke,QB,22.5,6003,214,4.6,4.21,35,,119.9
Garrett Safron,QB,23.4,6007,200,4.78,4.22,36.5,,118.9
Terrance Broadway,QB,23.4,6005,214,4.57,,34,,117.7
Cody Fajardo,QB,23.5,6014,223,4.63,4.1,32.5,18,116.7
Bryce Petty,QB,24.3,6027,230,4.87,4.13,34,22,115.2
Taylor Kelly,QB,24.5,6014,202,4.56,4.16,31,16,114.9
Bryan Bennett,QB,23.6,6022,211,4.81,4.2,37,,111.7
Clayton Mitchem,QB,22.7,6004,189,4.6,4.23,35.5,,111.4
Rudy Johnson,QB,,6002,185,4.55,4.29,33,12,110.2
Garrett Grayson,QB,24.3,6024,213,4.75,4.35,34,,109.2
Jameill Showers,QB,24,6016,221,4.64,4.5,38,,109
Gary Nova,QB,22.4,6013,222,4.71,4.46,34,,107.2
Cole Stoudt,QB,22.9,6045,218,4.72,4.38,31,,106.6
Blake Sims,QB,23.8,5114,218,4.57,,30.5,,104.7
Kiehl Frazier,QB,23,6021,223,4.77,4.49,34,15,104.5
Justin Arias,QB,24,6007,220,4.82,4.28,34.5,12,103.6
Conner Hempel,QB,,6014,207,4.64,4.27,31,,102.7
Damien Fleming,QB,,6026,220,4.82,4.53,38.5,12,101.3
Dylan Thompson,QB,23.9,6016,217,4.72,4.35,35,,101.2
Sean McCartney,QB,,6010,204,4.77,4.43,34,,101.2
Brandon Bridge,QB,23.5,6043,229,4.72,4.37,33,,101
Kale Pearson,QB,,5086,186,4.49,4.42,32,14,100
Cole Jaeschke,QB,22.8,6012,216,5,4.42,36.5,,98.5
Jerry Lovelocke,QB,23,6044,248,4.81,4.51,31.5,10,98
Andy Vailas,QB,25.1,6006,200,4.66,4.34,32.5,,96.8
Grant Hedrick,QB,,5116,196,4.65,4.35,31.5,,96
Quinn Epperly,QB,22.5,6016,213,4.83,4.32,32.5,,95.7
Benjamin Anderson,QB,,6022,199,4.69,4.46,31,13,95.4
Rakeem Cato,QB,23.5,6001,178,4.71,,34,,94.5
Andrew Hendrix,QB,23.9,6013,221,4.9,4.47,30.5,,91.5
Kevin Burke,QB,,5090,181,4.85,4.2,31,,91.1
J.P. Douglas,QB,22.9,6015,188,4.95,,35.5,,90.2
Kierra Harris,QB,22.9,5105,197,4.69,4.32,33,10,89.9
Nash Nance,QB,24.9,6022,209,4.8,4.42,31,18,89.8
Chandler Whitmer,QB,24,5117,200,4.91,4.37,33.5,,88.9
Ryan Williams,QB,23.9,6043,215,4.95,4.4,30.5,,88.6
Pete Thomas,QB,23.9,6052,232,5.06,4.4,30,,88
Trent Hurley,QB,24.1,6026,216,4.98,4.4,30.5,,87.5
Cody Sokol,QB,23.5,6014,210,4.78,4.63,32,,87.3
Aaron Wilmer,QB,,5097,210,4.67,4.58,31,,86.3
Michael Strauss,QB,,6021,211,5.03,4.31,29.5,,85.2
Jameis Winston,QB,21.8,6036,231,4.97,4.36,28.5,,83
Anthony Boone,QB,23.9,6002,231,4.91,4.41,29,,83
Brion Carnes,QB,24.3,6001,196,4.7,4.64,30,10,82.6
Austin Dodge,QB,,6013,208,4.96,4.41,28,,81.6
Jake Heaps,QB,24.2,6010,217,5.03,4.34,30.5,11,81.6
Shane Carden,QB,23.9,6017,218,4.94,4.45,29.5,,81.2
Sean Mannion,QB,23.4,6055,229,5.14,4.39,31,,80.5
Patrick McCain,QB,,6043,227,4.97,4.55,29.5,,80.5
Hutson Mason,QB,23.9,6016,212,4.79,4.41,28,,80.4
Phillip Sims,QB,,6006,227,4.91,4.8,31,,79.3
Kevin Rodgers,QB,23.9,6026,216,5.02,4.59,29,10,78.9
Colby Kirkegaard,QB,24.1,6013,204,4.88,4.53,28.5,,78
Drew Jackson,QB,,6015,225,5.15,4.58,31.5,,77.3
Keahn Wallace,QB,23.7,6001,235,5.13,4.4,26,,76.8
Robert Council,QB,23.9,6026,213,4.97,4.98,29,,76
Connor Halliday,QB,22.5,6030,204,4.87,4.47,30,15,75.5
Danny Guadagnoli,QB,,6001,196,5.07,4.49,28,,73.6
Kalen Henderson,QB,23.2,6007,203,4.84,4.78,27,,72.3
Taylor Graham,QB,,6047,235,4.97,4.53,25.5,,72.3
Frank Rivers,QB,23.2,6045,233,4.79,4.64,26.5,11,72.1
Lance Orender,QB,,6045,229,5.06,4.74,27.5,,71.7
Max Shortell,QB,23,6046,232,5.07,4.46,26.5,,71.5
Jake Medlock,QB,,6021,225,4.92,4.55,26,,71.3
Bo Wallace,QB,23.2,6035,211,5.07,,,,71
Matt Behrendt,QB,,6011,200,5.07,4.54,27.5,,70.6
Chris Bonner,QB,22.1,6062,231,5.06,4.6,27,,70.5
Michael German,QB,23.9,6016,239,5.3,4.72,25,,68.4
Steven Laurino,QB,,5114,203,4.97,4.5,28,6,65.6
Quinn Kaehler,QB,20.8,6027,210,5.14,4.73,26,,65
Caleb Holbrook,QB,,6017,222,5.15,4.6,25,,64.9
Andrew Manley,QB,,6023,227,5.22,4.62,23,,64.1
Jesse Warren,QB,,5117,204,5.05,4.69,28.5,,62.3
Zach Adkins,QB,23.4,6002,209,5.1,4.78,25,,60
Brandon Hill,QB,24.9,6045,226,5.25,5.13,24,,59.6
Tyrik Rollison,QB,24,6014,223,5.21,4.82,26,,58.7
Mike Perish,QB,24,6021,214,5.38,4.73,25.5,,55.8
Jordan Johnson,QB,23.4,5111,197,,,,,
Jake Waters,QB,23.5,6007,216,,,,,
Trevor Siemian,QB,,6027,220,4.94,,,,
Greg McGhee,QB,,6011,200,,,,,
Justin Worley,QB,22.9,6035,224,,,,,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Justin Worley,QB,22.9,6035,224,,,,,
Ameer Abdullah,RB,22.2,5086,205,4.54,3.95,42.5,24,145.5
David Johnson,RB,23.8,6005,224,4.5,4.27,41.5,25,139.7
Raheem Mostert,RB,23.5,5103,195,4.36,4.3,40,20,136.4
Malcolm Agnew,RB,22.3,5091,202,4.57,3.9,37,19,134.9
Corey Grant,RB,23.8,5087,201,4.28,4.08,37,22,134.7
LaVance Taylor,RB,,5110,195,4.37,4.05,39,,134.3
Zach Zenner,RB,,5114,223,4.6,4.14,41,25,132.3
Jordon James,RB,24,5084,195,4.43,4.39,44.5,18,131.6
Dreamius Smith,RB,23,5105,223,4.47,4.05,35,21,131.6
Brandon Hayes,RB,24,5084,198,4.53,4.05,38.5,24,130.6
Todd Gurley,RB,21.1,6005,222,4.52,4.09,36.5,17,129.4
Bronson Hill,RB,21.8,5104,221,4.46,4.3,38.5,25,129.3
Akeem Hunt,RB,22.6,5096,189,4.38,4.07,37.5,14,127.9
Jay Ajayi,RB,22.3,5116,221,4.57,4.1,39,19,127.6
Malcolm Brown,RB,22.3,5113,224,4.5,4.15,34.5,19,126
Jawon Chisholm,RB,24,6006,206,4.5,4.4,38,19,125.9
Melvin Gordon,RB,22.5,6005,215,4.52,4.07,35,19,125.7
Tevin Coleman,RB,22.4,5113,206,4.4,4.07,34,22,125.6
John Crockett,RB,23.6,5116,217,4.62,4.25,40,15,125.4
Akeem Daniels,RB,24.1,5067,190,4.54,4.08,37,,124.6
Duke Johnson,RB,22,5091,207,4.5,4.16,36.5,18,124.2
Gus Johnson,RB,,5095,215,4.62,4.13,36.5,26,123.8
Keith McBride,RB,23,5114,217,4.59,4.34,38,23,123.3
T.J. Yeldon,RB,21.9,6012,226,4.52,4.22,36,22,122.7
Lyle McCombs,RB,23.4,5081,171,4.49,4.33,37.5,,122.7
Desmond Martin,RB,23.5,5115,221,4.71,4.47,39.5,26,122.2
Mike Davis,RB,22.6,5091,217,4.51,4.18,35.5,17,121.6
Centarius Donald,RB,23.9,6002,223,4.65,4.24,36,17,121.6
Trey Williams,RB,22.8,5074,195,4.45,4.12,33.5,18,119.8
Brandon Wegher,RB,24.8,5103,213,4.5,4.43,37,23,119.2
Terrell Watson,RB,22,6005,236,4.51,4.49,35.5,22,119
Javorius Allen,RB,24,6004,221,4.53,4.28,35.5,11,118.8
Josh Snead,RB,24.3,5081,191,4.52,4.32,35.5,16,118.7
Alonzo Harris,RB,22.9,6010,237,4.65,4.51,36,15,118.7
Michael Dyer,RB,24.9,5084,218,4.58,,34,26,118.2
Cameron Artis-Payne,RB,25.2,5096,212,4.53,4.25,36.5,,117.9
Matt Jones,RB,22.6,6023,231,4.58,4.2,31.5,20,117.5
Anthony Cade,RB,,5101,215,4.45,4.6,34,,117.4
Abou Toure,RB,24.6,6016,231,4.69,4.6,39,22,117.4
Kenny Williams,RB,22.9,5093,225,4.73,4.34,36,25,117.3
Jeremy Langford,RB,23.8,5115,208,4.42,4.31,34.5,19,116.8
Cam McDaniel,RB,24,5093,185,4.55,4.15,35,17,116.3
B.J. Catalon,RB,,5073,186,4.49,4.15,36,20,116.1
Keshawn Hill,RB,22.5,5096,211,4.55,4.41,35.5,30,115.8
Christian Reyes,RB,,5097,219,4.82,4.34,36.5,27,115.5
Crusoe Gongbay,RB,,5113,210,4.65,,36.5,16,115.5
Jasper Sanders,RB,,5086,198,4.62,4.37,40,18,115
Jeffrey Lewis,RB,,6016,209,4.59,4.3,36.5,13,115
David Cobb,RB,22.3,5107,229,4.72,4.55,38.5,17,114.1
Devrin Young,RB,22.7,5062,175,4.43,4.2,37.5,17,113.9
Kirk Wilson,RB,,5074,180,4.44,4.45,34.5,11,113.7
Thomas Rawls,RB,22.1,5090,215,4.43,4.37,35.5,15,113.7
Jahwan Edwards,RB,23.1,5094,220,4.62,4.38,35.5,16,113.1
Keshaudas Spence,RB,,5094,238,4.76,4.27,33.5,25,113
Karlos Williams,RB,22.3,6006,230,4.48,4.46,33.5,16,112.9
Ryan Herring,RB,,5076,200,4.67,4.31,36,,112.9
Kenneth Harper,RB,22.7,5102,232,4.63,4.34,32,24,112.8
Rob Hollomon,RB,24.7,5074,165,4.39,4.24,38.5,13,112.7
Synjyn Days,RB,23.9,6005,230,4.65,4.31,31,22,111.7
D'Angelo Roberts,RB,23.2,5092,194,4.62,4.59,37,13,111.4
Orville Reynolds,RB,23,5075,171,4.38,4.17,35.5,10,111.3
Nick Griffin,RB,22.9,5110,232,4.76,4.41,35.5,26,111.1
Marlin Lane,RB,23.8,5115,218,4.67,4.2,35,,110.7
Donovonn Young,RB,22.9,5112,219,4.83,4.26,33.5,26,109.9
Bill Belton,RB,22.7,5087,199,4.59,4.43,35.5,15,109.8
Seth Hinsley,RB,23,5084,215,4.65,4.47,36,,109.3
Dominique Brown,RB,23.8,6017,234,4.63,4.2,32.5,17,109.3
Terrence Franks,RB,23.3,5090,203,4.49,4.26,31,19,109.2
Nick Hill,RB,23.9,5056,175,4.46,4.21,32,21,109.1
Marquis Green,RB,22,5070,168,4.6,,35,,108.8
Mack Brown,RB,,5106,206,4.59,4.15,32,18,108.7
Romo Westbrook,RB,23.1,5090,199,4.61,4.4,35,21,108.7
Terrence Magee,RB,22.6,5084,213,4.62,4.37,37,22,108.6
Shaquille Murray-Lawrence,RB,22.9,5065,192,4.48,4.41,34.5,18,108.5
Lemond Buice,RB,23.9,6005,225,4.69,4.42,38.5,14,108.4
Julian Hayes,RB,,5087,205,4.63,4.46,37,19,108.4
Terry Baggett,RB,,5113,210,4.69,4.45,32.5,19,108.2
Julian Hayes,RB,,5086,205,4.64,4.46,37,19,108.1
Terris Jones-Grigsby,RB,22.9,5067,198,4.62,4.46,36,21,108
Tony Creecy,RB,23.3,5103,204,4.71,4.35,33,19,107.8
Mario Brown,RB,23.9,5072,181,4.57,4.21,33.5,18,107.8
Travon Van,RB,24.3,5097,195,4.53,4.19,32.5,16,107.7
Reggie Whatley,RB,25,5060,178,4.44,4.39,35,14,107.3
Keon Williams,RB,24.1,6000,238,4.8,4.58,32.5,23,107.2
Martese Jackson,RB,,5050,178,4.44,4.56,36.5,20,107.1
Randall Holliman,RB,24,6004,211,4.65,4.51,35,17,107
Willie Matthews,RB,,5083,192,4.5,4.38,32.5,17,105
Cartel Brooks,RB,,5080,198,4.68,4.3,33,19,104.8
Tony Jones,RB,23.5,5070,182,4.52,4.3,34.5,8,104.6
Kevin Monangai,RB,22.6,5083,205,4.68,4.62,37,21,104
Kenny Bassett,RB,,5084,185,4.6,4.07,31.5,14,103.9
Deantre Lewis,RB,23.3,5100,188,4.59,4.34,33.5,16,103.1
Josh Quezada,RB,,5106,215,4.83,4.33,34.5,24,102.9
Lennies McFerrin,RB,25,5080,198,4.75,4.34,38.5,20,102.8
